,title,published_date,views,month
0,"1,000 Blind People See For The First Time",2023-01-28T21:00:00Z,57051669,Jan
1,I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,87957730,Dec
2,Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,103599881,Dec
3,Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,510325470,Dec
4,"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,105816219,Dec
5,Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,119753100,Nov
6,"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,88358370,Nov
7,Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,428874296,Nov
8,"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,152936027,Oct
9,"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,212192026,Oct
10,"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,125739133,Sep
11,I Hunted 100 People!,2022-09-03T19:59:59Z,72894742,Sep
12,I Survived A Plane Crash,2022-08-20T20:00:00Z,86049349,Aug
13,"I Gave My 100,000,000th Subscriber An Island",2022-08-04T19:59:59Z,109281570,Aug
14,"100 Girls Vs 100 Boys For $500,000",2022-07-23T20:00:09Z,118668512,Jul
15,I Didn’t Eat Food For 30 Days,2022-07-02T20:00:02Z,68115023,Jul
16,I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,156351071,Jun
17,"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,140138553,Apr
18,"Would You Swim With Sharks For $100,000?",2022-03-19T20:02:32Z,116147404,Mar
19,World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,168504550,Jan
20,"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,82364416,Dec
21,"$1,000,000 Influencer Tournament!",2021-12-16T21:00:00Z,66740759,Dec
22,I Got Hunted By The Military,2021-12-10T21:30:02Z,127716549,Dec
23,"$456,000 Squid Game In Real Life!",2021-11-24T21:00:01Z,354890791,Nov
24,I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29T19:59:43Z,85348121,Oct
25,"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23T20:00:01Z,126004781,Oct
26,"First To Rob Bank Wins $100,000",2021-09-26T20:00:06Z,112135377,Sep
27,"Extreme $500,000 Game Of Tag!",2021-09-04T20:00:07Z,108323245,Sep
28,"Last To Leave Circle Wins $500,000",2021-08-31T20:01:03Z,256062971,Aug
29,I Got Hunted By The FBI,2021-08-07T23:00:03Z,136913954,Aug
30,"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,120287787,Jul
31,"Would YOU Quit School For $100,000?",2021-07-10T20:00:09Z,105208429,Jul
32,I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,156193020,Jun
33,"Hit The Target, Win $300,000",2021-06-12T20:00:01Z,124489201,Jun
34,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01T20:00:02Z,122582930,Jun
35,I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,133135981,Apr
36,"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,144484953,Apr
37,"Would You Sit In Snakes For $10,000?",2021-04-10T21:00:07Z,196308382,Apr
38,"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03T20:00:01Z,165347616,Apr
39,I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,234014078,Mar
40,"Offering People $100,000 To Quit Their Job",2021-03-13T21:00:02Z,105121749,Mar
41,I Sold My House For $1,2021-03-06T21:00:02Z,117134766,Mar
42,"If You Press This, I’ll Pay...",2021-02-13T21:00:01Z,49815583,Feb
43,"I Ate $100,000 Golden Ice Cream",2021-01-22T21:00:03Z,165943720,Jan
44,I Bought Everything In 5 Stores,2021-01-09T21:01:25Z,118380073,Jan
45,"Youtube Rewind 2020, Thank God It's Over",2021-01-01T21:00:03Z,66059170,Jan
46,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",2020-12-23T21:00:06Z,80625696,Dec
47,I Opened A Restaurant That Pays You To Eat At It,2020-12-19T22:00:03Z,138365325,Dec
48,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15T21:00:11Z,139100224,Dec
49,"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,149600029,Nov
50,"Press This Button To Win $100,000!",2020-11-14T21:00:02Z,221060745,Nov
51,I Survived 24 Hours Straight In Ice,2020-10-29T20:17:44Z,119601660,Oct
52,I Uber’d People And Let Them Keep The Car,2020-10-24T20:00:01Z,93216793,Oct
53,"$300,000 Influencer Trivia Tournament!",2020-10-18T00:19:57Z,57885422,Oct
54,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,143856629,Oct
55,Hi Me In 5 Years,2020-10-04T20:00:54Z,85598247,Oct
56,"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26T20:40:02Z,112471973,Sep
57,"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19T20:00:02Z,116242714,Sep
58,Why I Haven’t Been Uploading,2020-09-17T20:00:05Z,45541787,Sep
59,"Get This Random Person 1,000,000 Subscribers",2020-09-05T20:00:17Z,61808948,Sep
60,Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,163600022,Aug
61,"Last To Leave $800,000 Island Keeps It",2020-08-15T20:00:02Z,184728684,Aug
62,I Bought A Private Island,2020-08-13T20:00:07Z,111373155,Aug
63,"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08T20:00:02Z,95588893,Aug
64,I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,162525220,Aug
65,I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,161230719,Jul
66,"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,166386701,Jul
67,I Broke Into A House,2020-06-25T20:00:00Z,106400280,Jun
